"Url","Nom","Prix","Marque","ratingValue","ratingCount","Nombre de couverts","Format","Classe énergétique","Consommation d'eau","Consommation d'eau par cycle","Consommation d'énergie","Niveau sonore (Norme EN 60704-3)","Nombre de programmes","Qualité de séchage","Sécurités","Hauteur","Largeur (cm)","Profondeur (cm)","Finition","Origine de fabrication","Disponibilité des pièces détachées"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms68tw00e.html","Bosch SMS68TW00E SUPER SILENCE PLUS",799,"Bosch","4.70",7,14,"Standard","A+",2660,"Moins de 10 L",299,28,8,"A","Aquastop 100% anti-fuite, avec garantie, sécurité enfants.","84,5",60,60,"Blanc","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g6730sc.html","Miele G6730SC INOX",1499,"Miele","4.80",5,14,"Standard","A+++",2716,"Moins de 10 L",213,44,9,"A","Verrouillage sécurité enfants, Aquasécurité.","84,5","59,8",60,"Inox","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn258b00me.html","Siemens SN258B00ME",799,"Siemens",,0,14,"Standard","A++",2660,"Moins de 10 L",266,44,8,"A","Sécurité AQUASTOP 100% anti fuite, Sécurité enfants.","84,5",60,60,"Noir et inox","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms68ti00e.html","Bosch SMS68TI00E SUPER SILENCE PLUS",1059,"Bosch",,0,14,"Standard","A+",2660,"Moins de 10 L",299,38,8,"A","Aquastop 100% anti-fuite, avec garantie, sécurité enfants.","84,5",60,60,"Silver","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_4620_sc.html","Miele G 4620 SC",799,"Miele",,0,9,"Étroit","A+",2940,"Moins de 10 L",221,46,6,"A","Verrouillage Sécurité enfants, Aquasécurité : protection absolue contre les fuites d’eau.","84,5","44,8",60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn258w06te.html","Siemens SN258W06TE",999,"Siemens",,0,14,"Standard","A+++",2660,"Moins de 10 L",237,42,8,"A","AquaStop, Sécurité enfants","84,5",60,60,"Blanc","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_6730_sc_blanc.html","Miele G 6730 SC BLANC",1149,"Miele","4.50",2,14,"Standard","A+++",2716,"Moins de 10 L",213,44,9,"A","Verrouillage sécurité enfants, Aquasécurité.","84,5","59,8",60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/aeg_f87792_flat_blanc.html","Aeg F87792W0P",699,"Aeg","4.40",7,15,"Standard","A+++",3080,"10 L et plus",241,42,8,"A","Anti-débordement",85,"59,6",61,"Blanc","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabli.html","Smeg LVFABLI",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,10,"A","Stop Aqua total, triple sécurité ","88,5","59,8","67,5","Vert pomme","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabrd.html","Smeg LVFABRD",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,10,"A","Stop-Aqua total, triple sécurité","88,5",60,"67,5","Rouge","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabpk.html","Smeg LVFABPK",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,10,"A","Stop-Aqua total, triple sécurité","88,5",60,"67,5","Rose","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabbl.html","Smeg LVFABBL NOIR",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,5,"A","Stop-Aqua total, triple sécurité","88,5","59,8","67,5","Noir","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabpb.html","Smeg LVFABPB",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,10,"A","Stop-Aqua total, triple sécurité","88,5",60,"67,5","Bleu azur","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_lvfabcr.html","Smeg LVFABCR",1499,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",230,42,10,"A","Stop-Aqua total, triple sécurité","88,5",60,"67,5","Crème","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms68_inox_silence.html","Bosch SMS68TI01",869,"Bosch","4.70",3,14,"Standard","A++",2660,"Moins de 10 L",266,40,8,"A","Aquastop 100% anti-fuite, avec garantie, sécurité enfants.","84,5",60,60,"Silver","Allemagne",8
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_6820_sc.html","Miele G 6820 SC",1799,"Miele",,0,14,"Standard","A+++",2772,"Moins de 10 L",189,40,11,"A","AquaSécurité - Indication de nettoyage de filtre - Sécurité enfants (verouillage automatique de la porte)","84,5","59,8",60,"Blanc","Allemagne",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sr25m284eu.html","Siemens SR25M284EU","520.59","Siemens","4.50",23,10,45,"A+",2660,"Moins de 10 L",237,44,5,"A","Sécurité AquaStop 100% anti fuite, avec garantie- sécurité enfant verrouillage de la porte.","84,5",45,60,"Blanc","Allemagne",10
